steps,train_loss,train_acc,val_acc
254,1.6951778805677455,0.6168958742632612,0.5055555555555555
509,0.7437167802353505,0.6414538310412573,0.8444444444444444
763,0.5893868883606961,0.7161100196463653,0.8055555555555556
1018,0.5562873757892601,0.7220039292730844,0.8166666666666667
1272,0.469284080305596,0.7652259332023575,0.8666666666666667
1527,0.43461712887455767,0.8045186640471512,0.6333333333333333
1781,0.4178906635533147,0.8045186640471512,0.7277777777777779
2036,0.4180720769059213,0.8064833005893909,0.8388888888888889
2290,0.3974342495495772,0.8261296660117877,0.8444444444444444
2545,0.3877884609760142,0.8261296660117877,0.8333333333333334
2799,0.37035295323327855,0.8428290766208251,0.8277777777777778
3054,0.38706740865772976,0.8290766208251473,0.8277777777777778
