steps,train_loss,train_acc,val_acc
254,0.5949338563298898,0.7269155206286836,0.8666666666666667
509,0.4327060049491219,0.8163064833005893,0.8611111111111112
763,0.4363910389555461,0.8192534381139489,0.8555555555555556
1018,0.40532353537958593,0.818271119842829,0.8944444444444445
1272,0.3515254214610941,0.8526522593320235,0.9
1527,0.31234142787330044,0.8654223968565815,0.9
1781,0.30524704451645285,0.8821218074656187,0.9166666666666667
2036,0.2774717107503025,0.8752455795677799,0.888888888888889
2290,0.26120771344729166,0.8968565815324164,0.8777777777777778
2545,0.2293319873994835,0.9115913555992141,0.9
2799,0.23901410708258802,0.8939096267190569,0.8944444444444445
3054,0.20673972883486794,0.9194499017681729,0.9055555555555556
3308,0.21973471443053547,0.9086444007858545,0.9055555555555556
3563,0.21128599849220342,0.9145383104125736,0.9
