steps,loss,train_acc,val_acc
107,0.9494756404484543,0.586448598130841,0.45054945054945056
214,0.8042337363846949,0.6542056074766355,0.40659340659340665
321,0.7972980929869358,0.6448598130841121,0.3626373626373627
428,0.8073499879547369,0.7009345794392523,0.4395604395604396
535,0.738391396459018,0.6752336448598131,0.4395604395604396
642,0.7425908706734113,0.6565420560747663,0.4285714285714286
749,0.707267093602742,0.6939252336448598,0.4945054945054945
856,0.6221269973527606,0.7266355140186915,0.5164835164835165
963,0.6019482005422361,0.7546728971962616,0.4835164835164836
1070,0.6000361626393327,0.7570093457943925,0.4945054945054945
1177,0.561934481435847,0.7850467289719626,0.4835164835164836
1284,0.6255919515529526,0.7359813084112149,0.5274725274725275
1391,0.6101395744029606,0.719626168224299,0.46153846153846156
1498,0.6079699280106019,0.7616822429906541,0.5494505494505495
1605,0.5905374620005349,0.7663551401869159,0.5164835164835165
1712,0.5841002318068086,0.7757009345794392,0.5054945054945056
1819,0.5559101050423685,0.7686915887850466,0.5274725274725275
1926,0.5933552267395448,0.7406542056074766,0.5164835164835165
2033,0.5736144879989535,0.7616822429906541,0.47252747252747257
2140,0.5301616357587208,0.7850467289719626,0.5274725274725275
2247,0.5463623471349199,0.7850467289719626,0.4945054945054945
2354,0.5381607261495055,0.7757009345794392,0.4835164835164836
2461,0.5497542508294649,0.7663551401869159,0.5274725274725275
2568,0.5842560745566805,0.7406542056074766,0.4835164835164836
2675,0.5707313457382059,0.7873831775700934,0.4835164835164836
2782,0.5407258740095334,0.7897196261682242,0.5164835164835165
2889,0.5706456233964903,0.7616822429906541,0.47252747252747257
2996,0.6107157807205325,0.7570093457943925,0.5054945054945056
3103,0.613052327220685,0.7523364485981308,0.46153846153846156
3210,0.5734503883346219,0.7710280373831775,0.4945054945054945
3317,0.5449942133136999,0.7920560747663551,0.4945054945054945
