steps,train_loss,train_acc,val_acc
254,0.9063934919991207,0.656833824975418,0.46961325966850825
508,0.7776341725474145,0.6941986234021633,0.718232044198895
762,0.6858335762131765,0.7335299901671584,0.6961325966850829
1017,0.6433326306010183,0.7433628318584071,0.7458563535911602
1271,0.5819049341019862,0.7767944936086529,0.6685082872928176
1525,0.5933259499342627,0.7807276302851525,0.712707182320442
1779,0.5238569538853514,0.80039331366765,0.729281767955801
2034,0.4819752217042411,0.8033431661750247,0.723756906077348
2288,0.4475428649575075,0.8269419862340217,0.7679558011049723
2542,0.4429688464809894,0.8249754178957719,0.7790055248618785
2796,0.4348832724603111,0.8298918387413963,0.7679558011049723
3051,0.40840538735469417,0.8348082595870207,0.7513812154696132
3305,0.43231731688378483,0.8377581120943953,0.7679558011049723
3559,0.42025321493458256,0.8269419862340217,0.7734806629834254
3813,0.4103076799663705,0.8446411012782695,0.7734806629834254
4068,0.40925875701735503,0.8338249754178958,0.7790055248618785
4322,0.40002815766789335,0.839724680432645,0.7569060773480663
