steps,train_loss,train_acc,val_acc
254,0.8878216067715498,0.6489675516224189,0.6850828729281768
508,0.7371190922919042,0.711897738446411,0.6961325966850829
762,0.674273896709656,0.7472959685349067,0.7624309392265193
1017,0.6294972165730381,0.7659783677482793,0.729281767955801
1271,0.5852695899258203,0.7699115044247788,0.7458563535911602
1525,0.5186685069355172,0.8102261553588987,0.712707182320442
1779,0.52663372065817,0.8043264503441495,0.729281767955801
2034,0.5093116641865133,0.817109144542773,0.729281767955801
2288,0.48933077954495785,0.8013765978367748,0.7679558011049723
2542,0.493641083981318,0.808259587020649,0.7569060773480663
2796,0.4626727109461759,0.8289085545722714,0.729281767955801
3051,0.4915081589622835,0.8259587020648969,0.7679558011049723
3305,0.5040710189818398,0.8013765978367748,0.7624309392265193
3559,0.5251327057972536,0.7895771878072764,0.7624309392265193
3813,0.4702826084288876,0.8289085545722714,0.7458563535911602
4068,0.48798424990127925,0.817109144542773,0.7403314917127072
