steps,train_loss,train_acc,val_acc
127,0.9745510957234025,0.6332350049164209,0.6077348066298343
254,0.7732241235768667,0.7089478859390365,0.5911602209944751
381,0.7475981549410224,0.7168141592920354,0.6187845303867403
508,0.6879695244829446,0.7295968534906588,0.6629834254143646
635,0.6415937896323415,0.7413962635201574,0.6629834254143646
762,0.6188577853121237,0.7472959685349067,0.6795580110497237
889,0.6017911148165063,0.7482792527040315,0.7458563535911602
1017,0.5601820181487467,0.7925270403146509,0.6629834254143646
1144,0.5777101914087931,0.7807276302851525,0.712707182320442
1271,0.48144461623335305,0.823992133726647,0.712707182320442
1398,0.45993424270708655,0.817109144542773,0.7458563535911602
1525,0.43942201430584243,0.8298918387413963,0.7513812154696132
1652,0.4324976156594831,0.8377581120943953,0.7403314917127072
1779,0.40087278894970196,0.8436578171091446,0.7403314917127072
1906,0.4319741663796829,0.8387413962635202,0.7403314917127072
2034,0.40360126066348545,0.8466076696165192,0.7348066298342542
2161,0.4280432209504389,0.8308751229105212,0.7458563535911602
2288,0.41008891667822706,0.8387413962635202,0.729281767955801
2415,0.41563101504052985,0.8446411012782695,0.7458563535911602
