steps,train_loss,train_acc,val_acc
508,1.2400659769333922,0.5476892822025565,0.5082872928176796
1017,1.1797932002513927,0.56047197640118,0.56353591160221
1525,1.175066202849648,0.5506391347099312,0.5469613259668508
2034,1.199746491576132,0.5535889872173059,0.56353591160221
2542,1.1456384147162986,0.5624385447394298,0.574585635359116
3051,1.1507536299460757,0.5673549655850542,0.430939226519337
3559,1.1552578046727437,0.5673549655850542,0.5027624309392265
4068,1.1525656540485258,0.568338249754179,0.4917127071823204
4576,1.1502921360315006,0.568338249754179,0.5027624309392265
5085,1.1493979749895245,0.568338249754179,0.48066298342541436
5593,1.146741554800388,0.568338249754179,0.48066298342541436
6102,1.150348821572498,0.568338249754179,0.5082872928176796
